EAR,MAR,Pitch,Yaw,Label
0.7,0.3500588721784489,36.75,6.468749999999999,Focused
0.7,0.4729041774889798,37.875,4.5,Focused
1.0,0.9377158947614622,19.125,11.531249999999998,Focused
1.2999999999999998,0.7809426387339606,20.625,4.21875,Focused
0.7,0.7328009385378033,19.875,2.25,Focused
1.0,0.724638970935718,21.0,2.25,Focused
0.7,0.7206969721512657,21.0,1.9687499999999998,Focused
1.0,0.7347077393419436,22.5,1.125,Focused
0.7,0.7035740981694564,16.5,-3.9374999999999996,Focused
0.7,0.7410848518406793,15.749999999999998,-2.8125,Focused
0.4,0.8787096275476053,20.625,-18.84375,Focused
0.7,0.7489249143600731,17.625,-9.0,Focused
0.7,0.7269697570722237,16.875,-5.0625,Focused
1.0,0.7461158011138057,16.5,-1.6875,Focused
0.7,0.8782261982329475,3.75,16.03125,Looking Away
1.0,0.7839401247727088,3.75,9.5625,Looking Away
1.0,0.7703824683497789,4.5,0.84375,Looking Away
1.0,0.781835911261022,3.375,-9.5625,Looking Away
1.0,0.748056157912048,5.625,-12.375000000000002,Looking Away
0.4,0.9152031963205342,42.75,0.0,Looking Away
0.7,0.7150482131755024,35.625,11.8125,Looking Away
0.7,0.8080425999665459,36.75,1.40625,Drowsy
0.7,0.9107969996100768,37.5,2.25,Drowsy
1.0,0.8162386608414292,37.125,1.9687499999999998,Drowsy
1.0,0.8206427014814998,33.0,2.25,Drowsy
1.0,0.7577735225683112,24.750000000000004,-1.40625,Drowsy
0.7,0.8400229082656009,36.0,-10.40625,Drowsy
0.7,0.8776976682315039,40.875,-9.5625,Drowsy
0.4,0.9728756828872049,41.25,-1.6875,Drowsy
1.0,1.080114905090628,42.0,5.0625,Drowsy
1.2999999999999998,1.0288661186303225,36.75,4.5,Drowsy
0.7,1.0050600221620034,37.125,3.9374999999999996,Drowsy
1.0,0.9315056577099505,39.75,-13.781250000000002,Drowsy
0.7,0.8542016072559301,28.875000000000004,-18.5625,Drowsy
0.7,0.8417472484377363,30.0,-18.28125,Drowsy
0.7,0.845679987468416,31.125,-17.71875,Drowsy
0.7,0.8277873695247767,31.125,-18.28125,Drowsy
0.7,0.8504457784760985,31.499999999999996,-16.3125,Drowsy
1.0,0.9124086516308069,31.499999999999996,-9.84375,Drowsy
1.0,0.9416833725346823,33.0,-9.84375,Drowsy
0.7,0.9432755581442107,31.875,-14.90625,Drowsy
0.7,0.8859054837118662,28.875000000000004,-17.71875,Drowsy
0.7,0.9168534470689238,32.25,-26.71875,Drowsy
0.7,0.9264201658911564,33.0,-27.281249999999996,Drowsy
0.7,0.9444404119511107,31.875,-29.8125,Drowsy
1.0,0.9498736880437434,32.625,-30.093749999999996,Drowsy
0.7,0.8494574884318753,31.875,-18.0,Drowsy
0.7,0.848897660787312,25.125,-19.40625,Drowsy
0.7,0.8645725351566351,29.25,-19.6875,Drowsy
0.7,0.8542935714714578,29.25,-20.25,Drowsy
0.7,0.8596832165641868,29.25,-19.96875,Drowsy
0.7,0.8452965032353874,30.375000000000004,-21.09375,Drowsy
0.7,0.8680518160981678,28.5,-19.6875,Drowsy
0.7,0.8827552717203873,27.75,-17.4375,Drowsy
0.7,0.7151125010814448,24.750000000000004,-6.468749999999999,Drowsy
0.7,0.8779314339293093,27.374999999999996,-16.3125,Drowsy
0.7,0.9189865202166284,29.25,-23.343750000000004,Drowsy
0.7,0.958474701460452,30.0,-28.687499999999996,Drowsy
0.7,0.9561219202460347,31.499999999999996,-31.499999999999996,Drowsy
0.7,0.9515987563851858,27.0,-29.25,Drowsy
0.7,0.9282587703816948,24.375,-25.3125,Drowsy
